央视,#genre#
CCTV-1 综合,https://live3.rxip.sc96655.com/live/CCTV-1H265.m3u8
CCTV-2 财经,https://live3.rxip.sc96655.com/live/CCTV-2H265.m3u8
CCTV-3 综艺,https://live3.rxip.sc96655.com/live/CCTV-3H265.m3u8
CCTV-4 中文国际,https://live3.rxip.sc96655.com/live/CCTV-4H265.m3u8
CCTV-5 体育,https://live3.rxip.sc96655.com/live/CCTV-5H265.m3u8
CCTV-5+ 体育赛事,https://live3.rxip.sc96655.com/live/CCTV-5plusH265.m3u8
CCTV-6 电影,https://live3.rxip.sc96655.com/live/CCTV-6H265.m3u8
CCTV-7 国防军事,https://live3.rxip.sc96655.com/live/CCTV-7H265.m3u8
CCTV-8 电视剧,https://live3.rxip.sc96655.com/live/CCTV-8H265.m3u8
CCTV-9 纪录,https://live3.rxip.sc96655.com/live/CCTV-9H265.m3u8
CCTV-10 科教,https://live3.rxip.sc96655.com/live/CCTV-10H265.m3u8
CCTV-11 戏曲,https://live3.rxip.sc96655.com/live/CCTV-11-H265.m3u8
CCTV-12 社会与法,https://live3.rxip.sc96655.com/live/CCTV-12H265.m3u8
CCTV-13 新闻,https://live3.rxip.sc96655.com/live/CCTV-xw.m3u8
CCTV-14 少儿,https://live3.rxip.sc96655.com/live/CCTV-14H265.m3u8
CCTV-15 音乐,https://live3.rxip.sc96655.com/live/CCTV-15-yyH265.m3u8
CCTV-16 奥林匹克,https://live3.rxip.sc96655.com/live/CCTV-16.m3u8
CCTV-16 奥林匹克 4K,https://live3.rxip.sc96655.com/live/CCTV-16-4K.m3u8
CCTV-17 农业农村,https://live3.rxip.sc96655.com/live/CCTV-17.m3u8
